"dwm.exe","295172","Console","11","363,180 K"
"LAVService.exe","264860","Services","0","45,788 K"
"crashpad_handler.exe","290248","Services","0","600 K"
"usysdiag.exe","289032","Services","0","2,344 K"
"SangforUDProtectEx.exe","289224","Console","11","17,384 K"
"sihost.exe","312096","Console","11","52,536 K"
"svchost.exe","291756","Console","11","33,708 K"
"dllhost.exe","315772","Console","11","23,008 K"
"svchost.exe","319640","Console","11","11,512 K"
"svchost.exe","332572","Console","11","36,152 K"
"taskhostw.exe","323928","Console","11","16,108 K"
"dllhost.exe","319716","Console","11","11,600 K"
"CrossDeviceResume.exe","304284","Console","11","52,456 K"
"ICEsoundService64.exe","320164","Console","11","12,308 K"
"ECAgent.exe","292504","Console","11","35,888 K"
"atieclxx.exe","303484","Console","11","20,220 K"
"AutoModeDetect.exe","305476","Console","11","15,640 K"
"ctfmon.exe","284448","Console","11","78,396 K"
"conhost.exe","328044","Console","11","10,516 K"
"CrossDeviceService.exe","298800","Console","11","97,856 K"
"svchost.exe","315908","Console","11","45,812 K"
"FnHotkeyCapsLKNumLK.exe","325404","Console","11","16,104 K"
"LenovoPCMKeyService.exe","291248","Console","11","15,900 K"
"conhost.exe","328228","Console","11","10,484 K"
"unsecapp.exe","321640","Console","11","11,172 K"
"ChsIME.exe","269720","Console","11","11,032 K"
"MessagingPlugin.exe","315308","Console","11","41,352 K"
"conhost.exe","274020","Console","11","8,208 K"
"FnHotkeyUtility.exe","318072","Console","11","34,768 K"
"XSU.exe","330280","Console","11","4,080 K"
"RuntimeBroker.exe","323176","Console","11","60,288 K"
"svchost.exe","332312","Console","11","24,192 K"
"PdfQuick.exe","319660","Console","11","14,620 K"
"RuntimeBroker.exe","317700","Console","11","14,256 K"
"unsecapp.exe","313940","Console","11","11,284 K"
"LenovoTray.exe","323300","Console","11","47,556 K"
"crashpad_handler.exe","314644","Console","11","596 K"
"SpeedBall.exe","295620","Console","11","9,036 K"
"SecurityHealthSystray.exe","314976","Console","11","14,144 K"
"Ammbkproc.exe","326696","Console","11","11,612 K"
"RtkAudUService64.exe","316836","Console","11","18,360 K"
"OneDrive.exe","303924","Console","11","144,448 K"
"svchost.exe","330780","Console","11","24,568 K"
"git.exe","311240","Console","11","7,764 K"
"svchost.exe","329720","Console","11","13,844 K"
"LenovoInternetSoftwareFramework.exe","322828","Console","11","35,708 K"
"Lsf.exe","324752","Console","11","19,244 K"
"WeChat.exe","291724","Console","11","158,628 K"
"mmcrashpad_handler64.exe","313400","Console","11","11,568 K"
"LeAppOM.exe","331896","Console","11","7,632 K"
"svchost.exe","287720","Console","11","20,092 K"
"chrome.exe","295236","Console","11","65,452 K"
"chrome.exe","271832","Console","11","9,812 K"
"chrome.exe","275860","Console","11","57,884 K"
"chrome.exe","297476","Console","11","50,296 K"
"chrome.exe","295704","Console","11","24,152 K"
"chrome.exe","313832","Console","11","56,416 K"
"chrome.exe","313436","Console","11","65,572 K"
"chrome.exe","326024","Console","11","24,884 K"
"chrome.exe","320156","Console","11","80,500 K"
"git.exe","332912","Console","11","7,768 K"
"dllhost.exe","302332","Console","11","10,300 K"
"WindowsTerminal.exe","332776","Console","11","145,740 K"
"FLMgrTray.exe","314860","Console","11","25,972 K"
"chrome.exe","268112","Console","11","79,552 K"
"chrome.exe","320128","Console","11","103,248 K"
"chrome.exe","284552","Console","11","82,880 K"
